o_tid,seq,like_num,retweet_num,quote_num,comment_num,view_num,follow_num,fan_num,post_num,date
1693450359065170055,1,23,11,0,3,968,50827,47513,47504,1692559040.0
1693450359065170055,2,0,0,0,0,9,5539,5050,9104,1692576590.0
1693450359065170055,3,17,0,0,2,4387,1513,3042,21825,1692556571.0
1693450359065170055,4,0,0,0,0,4,439,414,13880,1692612319.0
1693450359065170055,5,0,0,0,0,11,101,250,5486,1692571201.0
1693450359065170055,6,3,0,0,0,42,79,171,2477,1692589846.0
1693450359065170055,7,10,0,0,0,918,442,2786,149068,1692600050.0
1693450359065170055,8,0,0,0,0,2,51,143,4648,1692607360.0
1693450359065170055,9,0,0,0,0,2,10273,10066,55033,1692616926.0
1693450359065170055,10,9,0,0,1,468,2148,2272,8525,1692556778.0
1693450359065170055,11,38,1,0,9,7968,15855,14627,7984,1692556341.0
1693450359065170055,12,1,0,0,0,12,950,626,5259,1692574230.0
1693450359065170055,13,1,0,0,0,277,4086,4223,38726,1692606311.0
1693450359065170055,14,0,0,0,0,20,3586,4016,71931,1692627183.0
1693450359065170055,15,48,2,0,3,936,2347,3023,13499,1692556504.0
1693450359065170055,16,1,0,0,0,63,808,3614,6946,1692615972.0
1693450359065170055,17,23,3,0,2,712,5163,7254,12549,1692558586.0
1693450359065170055,18,0,0,0,0,25,4379,1128,45047,1692612400.0
1693450359065170055,19,1,0,0,0,6,1549,1757,35402,1692638973.0
1693450359065170055,20,2,0,0,1,32,80,1302,13985,1692593777.0
1693450359065170055,21,0,0,0,1,29,2009,1522,9911,1692588116.0
1693450359065170055,22,133,6,0,13,5951,3323,2934,37772,1692562952.0
1693450359065170055,23,2,0,0,0,62,1482,1142,29087,1692618951.0
1693450359065170055,24,0,0,0,0,6,214,575,11918,1692621666.0
1693450359065170055,25,13,0,0,4,720,44,290,6374,1692559880.0
1693450359065170055,26,2,0,0,0,3779,329,528,5679,1692556494.0
1693450359065170055,27,63,3,0,5,6223,165,16753,234621,1692556630.0
1693450359065170055,28,6,0,0,2,541,1073,1072,7048,1692557968.0
1693450359065170055,29,3,0,0,1,162,3714,2371,3357,1692559757.0
1693450359065170055,30,1,0,0,0,81,703,1018,2159,1692586870.0
1693450359065170055,31,2,0,0,1,62,136,47,1550,1692649486.0
1693450359065170055,32,7,0,0,1,750,271,1231,4428,1692556299.0
1693450359065170055,33,0,0,0,0,3,143,242,2511,1692630091.0
1693450359065170055,34,0,0,0,0,31,323,134,4057,1692631029.0
1693450359065170055,35,49,1,0,2,564,1762,2759,110095,1692562382.0
1693450359065170055,36,0,0,0,0,7,349,348,12020,1692605992.0
1693450359065170055,37,51,4,0,55,3589,527,664,10679,1692556417.0
1693450359065170055,38,40,8,0,6,1361,1268,1083,8874,1692594024.0
1693450359065170055,39,216,15,1,54,18318,35624,40240,45308,1692556270.0
1693450359065170055,40,134,23,0,17,3627,4958,6449,29427,1692556303.0
1693450359065170055,41,13,2,0,3,3255,2898,4420,14301,1692556295.0
1693450359065170055,42,33,2,0,12,12967,2478,32258,126400,1692556535.0
1693450359065170055,43,397,11,0,8,3569,16875,33230,196264,1692562573.0
1693450359065170055,44,0,0,0,1,17,7018,7223,191195,1692593807.0
1693450359065170055,45,276,9,0,6,4075,4969,46319,248781,1692556479.0
1693450359065170055,46,5,1,0,2,5028,4000,2944,8662,1692556227.0
1693450359065170055,47,783,25,1,28,8170,125908,200184,21761,1692556231.0
1693450359065170055,48,17,2,0,4,3063,6249,23208,20113,1692556243.0
1693450359065170055,49,22,0,0,2,1283,415,43214,24632,1692556291.0
1693450359065170055,50,3,0,0,0,796,793,2595,10142,1692556397.0
1693450359065170055,51,12,2,1,6,2520,212,22553,19808,1692556352.0
1693450359065170055,52,13,0,0,3,4861,905,368,8182,1692556419.0
1693450359065170055,53,14,0,0,1,780,4023,4029,48127,1692556634.0
1693450359065170055,54,31,0,0,2,5632,536,1225,5104,1692556818.0
1693450359065170055,55,62,6,0,5,6534,2539,72723,79433,1692557661.0
1693450359065170055,56,17,0,0,2,11637,77,329,56074,1692557944.0
1693450359065170055,57,12,1,0,3,911,1954,8952,41514,1692559368.0
1693450359065170055,58,13,1,0,1,330,105,28,529,1692561841.0
1693450359065170055,59,8,1,0,6,3709,110,93,3714,1692563356.0
1693450359065170055,60,4,1,0,0,216,100,167,235,1692575406.0
1693450359065170055,61,40,7,0,4,688,27000,42331,71654,1692564233.0
1693450359065170055,62,1,0,0,0,89,212,22553,19808,1692557258.0
1693450359065170055,63,0,0,0,0,6,917,352,21458,1692617818.0
1693450359065170055,64,0,0,0,0,17,212,22553,19808,1692881863.0
1693450359065170055,65,0,0,0,0,3,1149,275,8666,1692613369.0
1693450359065170055,66,21,1,0,2,1030,2511,2616,46239,1692593148.0
1693450359065170055,67,18,3,0,8,3479,367,1021,16378,1692556243.0
1693450359065170055,68,24,2,0,1,17160,1753,2177,17212,1692556332.0
1693450359065170055,69,4,0,0,1,2401,593,3386,18236,1692556367.0
1693450359065170055,70,55,8,0,9,2846,22617,32381,48411,1692556545.0
1693450359065170055,71,0,0,0,0,12,239,275,8554,1692614955.0
1693450359065170055,72,3,1,0,2,392,298,72,1264,1692563076.0
1693450359065170055,73,3,0,0,0,82,9314,8490,49417,1692585205.0
1693450359065170055,74,7,0,0,2,4667,126,3582,11273,1692585935.0
1693450359065170055,75,2,0,0,1,57,1159,607,5760,1692591527.0
1693450359065170055,76,0,0,0,0,89,7892,20225,155024,1692598792.0
1693450359065170055,77,0,0,0,0,7,495,265,3970,1692601993.0
1693450359065170055,78,11,0,0,0,116,3121,61811,7264,1692604600.0
1693450359065170055,79,0,0,0,0,41,2325,1186,9307,1692605519.0
1693450359065170055,80,37,1,0,2,2768,4849,3546,10320,1692608239.0
1693450359065170055,81,9,0,0,1,593,2922,3212,10525,1692557333.0
1693450359065170055,82,8,0,0,1,1579,304,488,6476,1692561497.0
1693450359065170055,83,22,4,0,1,335,12182,13864,60210,1692564306.0
1693450359065170055,84,2,0,0,2,1887,564,380,2761,1692566411.0
1693450359065170055,85,5,0,0,0,111,1084,1334,76646,1692566500.0
1693450359065170055,86,16,3,0,1,3090,4488,3459,26194,1692567925.0
1693450359065170055,87,6,0,0,0,3725,702,2179,15360,1692573411.0
1693450359065170055,88,0,0,0,0,28,1848,783,5673,1692602162.0
1693450359065170055,89,31,0,0,1,922,42753,55704,102418,1692609686.0
